2025-10-17 10:42:29 - trademark_api - INFO - Starting Trademark Comparison API
2025-10-17 10:42:29 - trademark_api - INFO - Initializing image preprocessor...
2025-10-17 10:42:29 - trademark_api - INFO - Initializing PDF extractor...
2025-10-17 10:42:29 - trademark_api - INFO - Loading embedding model: openai/clip-vit-base-patch32
2025-10-17 10:42:32 - trademark_api - INFO - Connecting to vector database...
2025-10-17 10:42:32 - trademark_api - INFO - Connecting to cloud Qdrant: https://2c977cd3-71db-47c9-bd88-2aa5510b6aa9.us-east4-0.gcp.cloud.qdrant.io
2025-10-17 10:42:34 - trademark_api - INFO - Successfully connected to vector database
2025-10-17 10:42:34 - trademark_api - INFO - API startup complete
2025-10-17 10:44:14 - trademark_api - INFO - Searching with threshold: 0.5
2025-10-17 10:44:15 - trademark_api - INFO - Found 2 results with threshold 0.5
2025-10-17 10:44:15 - trademark_api - INFO - Search completed: 2 results in 1245.03ms
2025-10-17 10:44:36 - trademark_api - INFO - Searching with threshold: 0.5
2025-10-17 10:44:37 - trademark_api - INFO - Found 10 results with threshold 0.5
2025-10-17 10:44:37 - trademark_api - INFO - Search completed: 10 results in 997.17ms
2025-10-17 10:48:51 - trademark_api - INFO - Searching with threshold: 0.5
2025-10-17 10:48:54 - trademark_api - INFO - Found 5 results with threshold 0.5
2025-10-17 10:48:54 - trademark_api - INFO - Search completed: 5 results in 2534.47ms
2025-10-17 11:39:06 - trademark_api - INFO - Searching with threshold: 0.5
2025-10-17 11:39:07 - trademark_api - INFO - Found 5 results with threshold 0.5
2025-10-17 11:39:07 - trademark_api - INFO - Search completed: 5 results in 893.38ms
2025-10-17 11:47:09 - trademark_api - INFO - Saved 375 images to data/extracted
2025-10-17 11:47:09 - trademark_api - INFO - Starting indexing of 375 images...
2025-10-17 11:47:10 - trademark_api - INFO - Successfully indexed journal_img_000 (UUID: 979d9a75-3dd3-4a27-a88c-5245d696d725)
2025-10-17 11:47:11 - trademark_api - INFO - Successfully indexed journal_img_001 (UUID: 0ae8ec04-aceb-44d3-bd8b-8d7c88076c50)
2025-10-17 11:47:11 - trademark_api - INFO - Successfully indexed journal_img_002 (UUID: df5fedf1-e0f7-4088-a729-c13b69c41b2d)
2025-10-17 11:47:11 - trademark_api - INFO - Successfully indexed journal_img_003 (UUID: 603ceb35-7093-4196-86b1-fe453e3e43ef)
2025-10-17 11:47:12 - trademark_api - INFO - Successfully indexed journal_img_004 (UUID: 6b8ea99d-6986-4a16-8ae2-fb75d4f35dfb)
2025-10-17 11:47:12 - trademark_api - INFO - Successfully indexed journal_img_005 (UUID: 3d057c94-2d0d-483c-a239-eb7f8c9b9ede)
2025-10-17 11:47:13 - trademark_api - INFO - Successfully indexed journal_img_006 (UUID: fda3e92f-1b91-4aef-9a13-e65836485415)
2025-10-17 11:47:13 - trademark_api - INFO - Successfully indexed journal_img_007 (UUID: 20849fce-c0b5-41d3-916d-7f159666542e)
2025-10-17 11:47:14 - trademark_api - INFO - Successfully indexed journal_img_008 (UUID: 86dd69a4-5ba0-4f1d-8fc3-b0b8ee961d7c)
2025-10-17 11:47:14 - trademark_api - INFO - Successfully indexed journal_img_009 (UUID: df496402-ddec-4c07-8b05-59083edc4dbb)
2025-10-17 11:47:14 - trademark_api - INFO - Successfully indexed journal_img_010 (UUID: 8a78bb08-7e30-437c-94d5-cba560d46fd1)
2025-10-17 11:47:15 - trademark_api - INFO - Successfully indexed journal_img_011 (UUID: 940df38b-5c7e-4b3c-844f-253b70dee328)
2025-10-17 11:47:15 - trademark_api - INFO - Successfully indexed journal_img_012 (UUID: 21f3817f-4caa-4f98-a2af-d7b56e220add)
2025-10-17 11:47:15 - trademark_api - INFO - Successfully indexed journal_img_013 (UUID: 07edbacc-010c-430b-ac36-fe09dcfe8777)
2025-10-17 11:47:16 - trademark_api - INFO - Successfully indexed journal_img_014 (UUID: 9f68a49f-effe-4cde-a0a5-016f973edaa0)
2025-10-17 11:47:16 - trademark_api - INFO - Successfully indexed journal_img_015 (UUID: 9f14466c-9dcf-46da-9f5d-b8dea10a1c3b)
2025-10-17 11:47:16 - trademark_api - INFO - Successfully indexed journal_img_016 (UUID: 8e6a7ca0-5f6b-4dc1-8417-07a283f184e1)
2025-10-17 11:47:18 - trademark_api - INFO - Successfully indexed journal_img_017 (UUID: aa3d3ff8-f41b-4c16-98ac-b6420e0148dd)
2025-10-17 11:47:18 - trademark_api - INFO - Successfully indexed journal_img_018 (UUID: 8622ec64-bdec-4ebd-8cb3-a9f66da7df41)
2025-10-17 11:47:19 - trademark_api - INFO - Successfully indexed journal_img_019 (UUID: 2f581891-f6ad-4eb0-8e22-128ac782d83a)
2025-10-17 11:47:19 - trademark_api - INFO - Successfully indexed journal_img_020 (UUID: cab507f0-1e5d-468d-8c10-96a01d5ff671)
2025-10-17 11:47:19 - trademark_api - INFO - Successfully indexed journal_img_021 (UUID: 8469f6d8-3125-44d6-a6c3-1114c3fc4610)
2025-10-17 11:47:20 - trademark_api - INFO - Successfully indexed journal_img_022 (UUID: a4da75cf-36fd-4565-9380-9d99986f4d18)
2025-10-17 11:47:20 - trademark_api - INFO - Successfully indexed journal_img_023 (UUID: 1df1eb89-a419-434a-b9a0-5dbcb975bbad)
2025-10-17 11:47:20 - trademark_api - INFO - Successfully indexed journal_img_024 (UUID: 5ea699af-4ee7-4d9e-b799-189ddb6141fd)
2025-10-17 11:47:21 - trademark_api - INFO - Successfully indexed journal_img_025 (UUID: b97c0422-baee-46b8-a9b4-60fe8fe36c8f)
2025-10-17 11:47:21 - trademark_api - INFO - Successfully indexed journal_img_026 (UUID: a05b4392-3b90-45b4-a340-4f12551048ab)
2025-10-17 11:47:21 - trademark_api - INFO - Successfully indexed journal_img_027 (UUID: 6c6744b5-e53b-45a7-a369-620f7aee118a)
2025-10-17 11:47:22 - trademark_api - INFO - Successfully indexed journal_img_028 (UUID: 4557203b-e5e3-4c89-b64a-dca51c600185)
2025-10-17 11:47:22 - trademark_api - INFO - Successfully indexed journal_img_029 (UUID: 7769d3ce-9375-413c-8c7a-630bc0ec4c01)
2025-10-17 11:47:23 - trademark_api - INFO - Successfully indexed journal_img_030 (UUID: e50b8a59-00d5-47ae-bd20-2240dcc022df)
